SRZ187351_S0153.ffn	SRR5788117
SRZ187352_S0154.ffn	SRR5788114
SRZ187353_S0155.ffn	SRR5788115
SRZ187354_S0156.ffn	SRR5788108
SRZ187355_S0157.ffn	SRR5788109
SRZ187356_S0158.ffn	SRR5788284
SRZ187357_S0159.ffn	SRR5788283
SRZ187358_S0160.ffn	SRR5788286
SRZ187359_S0161.ffn	SRR5788285
SRZ187360_S0162.ffn	SRR5788288
SRZ187361_S0163.ffn	SRR5788287
SRZ187362_S0164.ffn	SRR5788290
SRZ187363_S0165.ffn	SRR5788289
SRZ187364_S0166.ffn	SRR5788282
SRZ187365_S0167.ffn	SRR5788281
SRZ187366_S0168.ffn	SRR5788375
SRZ187367_S0169.ffn	SRR5788376
SRZ187368_S0170.ffn	SRR5788377
SRZ187369_S0171.ffn	SRR5788378
SRZ187370_S0172.ffn	SRR5788379
SRZ187371_S0177.ffn	SRR5788380
SRZ187372_S0178.ffn	SRR5788381
SRZ187373_S0179.ffn	SRR5788382
SRZ187374_S0180.ffn	SRR5788383
SRZ187375_S0181.ffn	SRR5788384
SRZ187376_S0182.ffn	SRR5788024
SRZ187377_S0183.ffn	SRR5788023
SRZ187378_S0184.ffn	SRR5788022
SRZ187379_S0185.ffn	SRR5788021
SRZ187380_S0186.ffn	SRR5788020
SRZ187381_S0187.ffn	SRR5788019
SRZ187382_S0188.ffn	SRR5788018
SRZ187383_S0189.ffn	SRR5788017
SRZ187384_S0190.ffn	SRR5788016
SRZ187385_S0191.ffn	SRR5788015
SRZ187386_S0192.ffn	SRR5788188
SRZ187387_S0193.ffn	SRR5788189
SRZ187388_S0195.ffn	SRR5788186
SRZ187389_S0196.ffn	SRR5788187
SRZ187390_S0197.ffn	SRR5788184
SRZ187391_S0198.ffn	SRR5788185
SRZ187392_S0199.ffn	SRR5788182
SRZ187393_S0200.ffn	SRR5788183
SRZ187394_S0201.ffn	SRR5788180
SRZ187395_S0202.ffn	SRR5788181
SRZ187396_S0203.ffn	SRR5788352
SRZ187397_S0204.ffn	SRR5788351
SRZ187398_S0205.ffn	SRR5788354
SRZ187399_S0206.ffn	SRR5788353
SRZ187400_S0207.ffn	SRR5788348
SRZ187401_S0209.ffn	SRR5788347
SRZ187402_S0210.ffn	SRR5788350
SRZ187403_S0211.ffn	SRR5788349
SRZ187404_S0212.ffn	SRR5788346
SRZ187405_S0213.ffn	SRR5788345
SRZ187406_S0214.ffn	SRR5788104
SRZ187407_S0215.ffn	SRR5788103
SRZ187408_S0216.ffn	SRR5788106
SRZ187409_S0217.ffn	SRR5788105
SRZ187410_S0218.ffn	SRR5788100
SRZ187411_S0219.ffn	SRR5788099
SRZ187412_S0220.ffn	SRR5788060
SRZ187413_S0221.ffn	SRR5788059
SRZ187414_S0222.ffn	SRR5788048
SRZ187415_S0223.ffn	SRR5788047
SRZ187416_S0224.ffn	SRR5788190
SRZ187417_S0225.ffn	SRR5787992
SRZ187418_S0226.ffn	SRR5787989
SRZ187419_S0227.ffn	SRR5787990
