Run,Sample
ERR1726827,ERS487930
ERR1726792,ERS492161
ERR1726606,ERS492719
ERR1726868,ERS488824
ERR1726826,ERS492715
ERR1726922,ERS492715
ERR1726945,ERS492226
ERR1726964,ERS492226
ERR1726554,ERS488744
ERR1726748,ERS488345
ERR1726639,ERS491854
ERR1726659,ERS492004
ERR1726789,ERS492169
ERR1726599,ERS489118
ERR1726927,ERS492662
ERR1726843,ERS488746
ERR1726578,ERS488705
ERR1726844,ERS489037
ERR1726811,ERS488356
ERR1726587,ERS488896
ERR1726718,ERS506046
ERR1726697,ERS489480
ERR1726757,ERS494259
ERR1726971,ERS494195
ERR1726802,ERS488468
ERR1726870,ERS488288
ERR1726834,ERS492494
ERR1726867,ERS494418
ERR1726664,ERS492573
ERR1726604,ERS492313
ERR1726739,ERS492260
ERR1726949,ERS494412
ERR1726962,ERS493076
ERR1726594,ERS493086
ERR1726852,ERS494484
ERR1726744,ERS494540
ERR1726847,ERS494545
ERR1726647,ERS493184
ERR1726702,ERS493536
ERR1726888,ERS493536
ERR1726627,ERS491460
ERR1726661,ERS493867
ERR1726713,ERS492064
ERR1726738,ERS493652
ERR1726740,ERS492073
ERR1726966,ERS493270
ERR1726767,ERS493274
ERR1726849,ERS493328
ERR1726559,ERS493328
ERR1726769,ERS493358
ERR1726747,ERS493526
ERR1726886,ERS493860
ERR1726930,ERS493564
ERR1726641,ERS493568
ERR1726616,ERS493572
ERR1726555,ERS488339
ERR1726722,ERS488498
ERR1726582,ERS488991
ERR1726591,ERS488991
ERR1726784,ERS489280
ERR1726866,ERS490172
ERR1726749,ERS491394
ERR1726645,ERS491394
ERR1726735,ERS491721
ERR1726656,ERS491843
ERR1726609,ERS491883
ERR1726742,ERS492025
ERR1726602,ERS492241
ERR1726732,ERS492245
ERR1726890,ERS492245
ERR1726579,ERS492277
ERR1726771,ERS492369
ERR1726535,ERS492428
ERR1726913,ERS492742
ERR1726714,ERS492895
ERR1726845,ERS493262
ERR1726576,ERS493610
ERR1726730,ERS493851
ERR1726980,ERS494592
ERR1726545,ERS494673
ERR1726919,ERS494741
ERR1726565,ERS490594
ERR1726917,ERS488594
ERR1726865,ERS491858
ERR1726912,ERS492912
ERR1726691,ERS492912
ERR1726777,ERS488678
ERR1726925,ERS489067
ERR1726660,ERS488391
ERR1726607,ERS490618
ERR1726950,ERS490618
ERR1726673,ERS488539
ERR1726879,ERS488257
ERR1726801,ERS492137
ERR1726662,ERS488134
ERR1726652,ERS489065
ERR1726820,ERS489065
ERR1726882,ERS492400
ERR1726710,ERS491799
ERR1726603,ERS491799
ERR1726786,ERS488420
ERR1726731,ERS490572
ERR1726670,ERS492344
ERR1726960,ERS488684
ERR1726736,ERS488822
ERR1726623,ERS491900
ERR1726618,ERS488521
ERR1726672,ERS488521
ERR1726978,ERS489523
ERR1726918,ERS488640
ERR1726794,ERS488742
ERR1726688,ERS492669
ERR1726946,ERS492904
ERR1726655,ERS491904
ERR1726678,ERS490564
ERR1726709,ERS491958
ERR1726780,ERS490626
ERR1726658,ERS492224
ERR1726563,ERS492224
ERR1726644,ERS489158
ERR1726529,ERS493980
ERR1726654,ERS494147
ERR1726726,ERS489476
ERR1726611,ERS489311
ERR1726531,ERS489314
ERR1726813,ERS489489
ERR1726651,ERS489466
ERR1726728,ERS489813
ERR1726544,ERS492597
ERR1726586,ERS492534
ERR1726741,ERS492598
ERR1726685,ERS492539
ERR1726625,ERS494355
ERR1726859,ERS494461
ERR1726947,ERS494686
ERR1726941,ERS494752
ERR1726803,ERS494754
ERR1726824,ERS494557
ERR1726973,ERS494470
ERR1726889,ERS494350
ERR1726774,ERS491302
ERR1726723,ERS493626
ERR1726692,ERS493656
